+----------------------------------------------+-------+---------+-----------+
| Список материалов схемы 'Unnamed' (1 компонента из 1)                      |
+----------------------------------------------+-------+---------+-----------+
| Item                                         | Total | Missing | Available |
| Фиолетовая шерсть                            |     8 |       8 |         0 |
| Эндер-сундук                                 |     8 |       8 |         0 |
| Высокая сухая трава                          |     7 |       7 |         0 |
| Доски из бледного дуба                       |     7 |       7 |         0 |
| Каменные ступеньки                           |     7 |       7 |         0 |
| Листья цветущей азалии                       |     7 |       7 |         0 |
| Редстоуновый повторитель                     |     7 |       7 |         0 |
| Светло-серое стекло                          |     7 |       7 |         0 |
| Вощёная резная медная плита                  |     6 |       6 |         0 |
| Жёлтый флаг                                  |     6 |       6 |         0 |
| Кнопка из бледного дуба                      |     6 |       6 |         0 |
| Низкая сухая трава                           |     6 |       6 |         0 |
| Подвесная табличка из тёмного дуба           |     6 |       6 |         0 |
| Светло-серый сухой бетон                     |     6 |       6 |         0 |
| Фиолетовый флаг                              |     6 |       6 |         0 |
| Андезитовая плита                            |     5 |       5 |         0 |
| Вощёная медная лампа                         |     5 |       5 |         0 |
| Дубовая табличка                             |     5 |       5 |         0 |
| Жёлтая керамика                              |     5 |       5 |         0 |
| Плита из бледного дуба                       |     5 |       5 |         0 |
| Ступеньки из бледного дуба                   |     5 |       5 |         0 |
| Белое стекло                                 |     4 |       4 |         0 |
| Воронка                                      |     4 |       4 |         0 |
| Вощёный потемневший медный люк               |     4 |       4 |         0 |
| Вощёный потемневший резной медный блок       |     4 |       4 |         0 |
| Искажённая табличка                          |     4 |       4 |         0 |
| Искажённый люк                               |     4 |       4 |         0 |
| Камнерез                                     |     4 |       4 |         0 |
| Кварцевые ступеньки                          |     4 |       4 |         0 |
| Котёл                                        |     4 |       4 |         0 |
| Листья азалии                                |     4 |       4 |         0 |
| Призмариновая ограда                         |     4 |       4 |         0 |
| Редстоуновый компаратор                      |     4 |       4 |         0 |
| Стол картографа                              |     4 |       4 |         0 |
| Табличка из бледного дуба                    |     4 |       4 |         0 |
| Чёрная глазурованная керамика                |     4 |       4 |         0 |
| Бирюзовая керамика                           |     3 |       3 |         0 |
| Вощёный медный люк                           |     3 |       3 |         0 |
| Вощёный потемневший точёный медный блок      |     3 |       3 |         0 |
| Лаймовая керамика                            |     3 |       3 |         0 |
| Охристая квампа                              |     3 |       3 |         0 |
| Подвесная табличка из бледного дуба          |     3 |       3 |         0 |
| Раскидистый папоротник                       |     3 |       3 |         0 |
| Ступеньки из полированного андезита          |     3 |       3 |         0 |
| Улей                                         |     3 |       3 |         0 |
| Факельник                                    |     3 |       3 |         0 |
| Берёзовая табличка                           |     2 |       2 |         0 |
| Блок мёртвого пузырчатого коралла            |     2 |       2 |         0 |
| Вощёная потемневшая резная медная плита      |     2 |       2 |         0 |
| Вощёный точёный медный блок                  |     2 |       2 |         0 |
| Жёлтая кровать                               |     2 |       2 |         0 |
| Искажённая кнопка                            |     2 |       2 |         0 |
| Коричневая свеча                             |     2 |       2 |         0 |
| Навершие булавы                              |     2 |       2 |         0 |
| Обтёсанное бревно бледного дуба              |     2 |       2 |         0 |
| Ограда из глубинносланцевого кирпича         |     2 |       2 |         0 |
| Плита из тёмного призмарина                  |     2 |       2 |         0 |
| Ступеньки из полированного чернита           |     2 |       2 |         0 |
| Факел                                        |     2 |       2 |         0 |
| Фиолетовая кровать                           |     2 |       2 |         0 |
| Череп                                        |     2 |       2 |         0 |
| Череп визер-скелета                          |     2 |       2 |         0 |
| Чёрный ковёр                                 |     2 |       2 |         0 |
| Блок мёртвого огненного коралла              |     1 |       1 |         0 |
| Вишнёвая табличка                            |     1 |       1 |         0 |
| Голова игрока                                |     1 |       1 |         0 |
| Колокол                                      |     1 |       1 |         0 |
| Нотный блок                                  |     1 |       1 |         0 |
| Плотная грязь                                |     1 |       1 |         0 |
| Ступеньки из гладкого кварца                 |     1 |       1 |         0 |
| Ступеньки из тёмного призмарина              |     1 |       1 |         0 |
| Тёмный призмарин                             |     1 |       1 |         0 |
+----------------------------------------------+-------+---------+-----------+
| Item                                         | Total | Missing | Available |
+----------------------------------------------+-------+---------+-----------+
